0,0,0,0,0,0,0,0,0,0,0,0,None,2024-02-20 22:18:47.383774
1,0,0,0,0,0,0,0,0,0,0,0,False,2024-02-20 22:18:49.389236
2,0,0,0,0,0,0,0,0,0,0,0,False,2024-02-20 22:18:51.391021
3,0,0,0,0,0,0,0,0,0,0,0,False,2024-02-20 22:18:53.436023
4,53,75,96219,91003,60275,25507,14172,4356,5168,3678,0,True,2024-02-20 22:18:55.440942
5,47,84,38466,18904,13975,6249,12543,10091,4428,1473,0,True,2024-02-20 22:18:57.443079
6,27,77,104280,93364,15060,21768,5687,4642,2299,1406,0,True,2024-02-20 22:18:59.449208
7,30,81,44119,41240,6418,15597,4153,6391,4267,786,0,True,2024-02-20 22:19:01.454710
8,74,70,20188,72654,4968,9746,7928,8230,3801,1333,0,True,2024-02-20 22:19:03.460004
9,61,87,22236,37952,12633,9851,4219,3711,2021,1837,0,True,2024-02-20 22:19:05.468311
10,84,69,39404,54800,1274,5710,3500,5978,1729,1868,0,True,2024-02-20 22:19:07.470169
11,88,67,19902,10787,3938,5687,3679,3286,1562,1629,0,True,2024-02-20 22:19:09.472344
12,88,61,6959,29913,2404,2946,5645,4704,2294,1434,0,True,2024-02-20 22:19:11.477695
13,90,34,17662,679015,1370,2679,5435,2769,1126,593,0,True,2024-02-20 22:19:13.484355
14,90,63,17411,71461,5900,12850,4611,7048,2011,713,0,True,2024-02-20 22:19:15.490130
15,53,53,8340,9195,23863,12390,5527,8183,1856,1479,0,True,2024-02-20 22:19:17.679349
16,29,75,18507,24886,2587,11505,5148,3654,1543,970,0,True,2024-02-20 22:19:19.685549
17,38,51,221416,124554,41418,52314,20326,29822,11989,2945,0,True,2024-02-20 22:19:21.693561
18,38,74,79560,74735,32420,10491,4649,10473,4187,4714,0,True,2024-02-20 22:19:23.709114
19,27,48,83240,147126,21798,12188,24315,9845,1428,1489,0,True,2024-02-20 22:19:25.716542
20,35,40,14421,6928,2377,3482,2919,4258,2254,1774,0,True,2024-02-20 22:19:27.722037
21,38,47,41313,24869,13979,17686,11580,8297,4047,1810,0,True,2024-02-20 22:19:29.724015
22,34,35,58999,185025,9909,3638,8722,3698,2753,1847,0,True,2024-02-20 22:19:31.730102
23,27,17,91821,20842,2438,3412,11506,4701,3374,1384,0,True,2024-02-20 22:19:33.736211
24,27,35,11065,78322,16500,3796,6579,7684,2198,2678,0,True,2024-02-20 22:19:35.742162
25,44,35,11319,66404,2854,11134,2988,14241,4891,1057,0,True,2024-02-20 22:19:37.772055
